iter	MultiClass
0	1.259416375
1	1.042095976
2	0.8826856215
3	0.760721584
4	0.6633507923
5	0.5838620811
6	0.517161188
7	0.4612216561
8	0.4127747252
9	0.3709838782
10	0.3349933461
11	0.3023395339
12	0.2746527641
13	0.2495742716
14	0.227179982
15	0.2073497125
16	0.1891419562
17	0.1742469346
18	0.1600032073
19	0.1469759309
20	0.1353166535
21	0.1254796834
22	0.1157415475
23	0.1074579756
24	0.1002281806
25	0.09308154518
26	0.08666777616
27	0.08107769421
28	0.07560213476
29	0.07051823194
30	0.06633536381
31	0.06284233321
32	0.0599244792
33	0.05712411446
34	0.05512841576
35	0.05216891806
36	0.05014557468
37	0.0478637425
38	0.04560099403
39	0.04396588687
40	0.04295462121
41	0.04132669955
42	0.04022243664
43	0.03914870806
44	0.03825150016
45	0.03716519918
46	0.03659766398
47	0.03605685456
48	0.03526583573
49	0.03442492011
