iter	Passed	Remaining
0	160	7865
1	177	4264
2	192	3017
3	208	2392
4	223	2015
5	238	1751
6	253	1555
7	266	1398
8	280	1276
9	294	1178
10	306	1088
11	319	1011
12	334	950
13	346	889
14	358	835
15	370	787
16	382	742
17	394	701
18	406	663
19	419	629
20	431	595
21	442	563
22	454	532
23	464	503
24	476	476
25	487	450
26	499	425
27	509	400
28	519	376
29	529	353
30	539	330
31	550	309
32	560	288
33	569	267
34	578	248
35	589	229
36	598	210
37	608	192
38	618	174
39	627	156
40	636	139
41	647	123
42	656	106
43	666	90
44	675	75
45	684	59
46	694	44
47	703	29
48	712	14
49	721	0
